k,feature_selection,patient_balance,gene_balance,angle_encoding,angle_reps,n_qubits,circuit_depth,test_acc,test_auroc,test_f1,ind_acc,ind_auroc,ind_f1
16,snr,balanced,balanced,zz_feature_map,2,16,94,0.42857142857142855,0.8333333333333334,0.6,0.4117647058823529,0.65,0.5833333333333334
16,snr,balanced,balanced,bps_circuit,1,16,18,0.8571428571428571,1.0,0.8571428571428571,0.7058823529411765,0.9464285714285714,0.7368421052631579
16,snr,balanced,topk,simple_ry,1,16,1,1.0,1.0,1.0,0.7941176470588235,0.9892857142857143,0.6666666666666666
16,snr,balanced,topk,zz_feature_map,2,16,94,0.42857142857142855,0.41666666666666663,0.6,0.4117647058823529,0.5071428571428571,0.5833333333333334
16,snr,balanced,topk,bps_circuit,1,16,18,1.0,1.0,1.0,0.7941176470588235,0.9678571428571429,0.6666666666666666
16,snr,all,balanced,simple_ry,1,16,1,0.8333333333333334,1.0,0.5,0.7058823529411765,0.9464285714285714,0.4444444444444444
16,snr,all,balanced,zz_feature_map,2,16,94,0.75,0.37037037037037035,0.0,0.5882352941176471,0.5392857142857143,0.0
16,snr,all,balanced,bps_circuit,1,16,18,0.75,1.0,0.0,0.5882352941176471,0.9357142857142856,0.0
16,snr,all,topk,simple_ry,1,16,1,1.0,1.0,1.0,0.9117647058823529,0.9214285714285714,0.8888888888888888
16,snr,all,topk,zz_feature_map,2,16,94,0.75,0.5185185185185185,0.0,0.5882352941176471,0.48928571428571427,0.0
16,snr,all,topk,bps_circuit,1,16,18,0.75,1.0,0.0,0.5882352941176471,0.9357142857142857,0.0
